[333.49, -79.49, 200.0, 127.01, 76.0, 122.0, 1.0]
[333.49, -79.48, 200.0, 172.57, 74.82, 162.11, 1.0]
[290.22, -79.48, 118.08, 167.45, 78.05, 150.43, 1.0]
[317.36, -79.48, 118.08, 97.85, 78.31, 81.09, 1.0]
[341.42, -105.6, 38.46, 175.15, 60.65, 152.12, 1.0]
[341.42, -105.6, 94.01, 75.14, 66.82, 78.15, 1.0]
[341.42, -41.09, 94.53, 116.93, 78.44, 113.87, 1.0]
[385.46, -41.09, 94.52, 104.19, 66.34, 101.66, 1.0]
[385.46, -30.84, 122.17, 70.19, 65.35, 70.48, 1.0]
[385.46, -30.84, 52.03, 89.2, 63.3, 87.89, 1.0]
[369.59, -21.12, 52.03, -68.52, 87.28, -69.58, 1.0]
[325.55, 0.39, 117.05, 88.08, 72.48, 86.85, 1.0]
[325.55, 0.39, 241.98, 99.92, 64.9, 81.46, 1.0]
[325.55, -43.39, 235.58, 99.86, 81.23, 109.83, 1.0]
[325.55, 131.71, 116.29, 148.82, 67.99, 134.27, 1.0]
[311.88, 28.09, 152.89, 156.71, 66.23, 154.75, 1.0]
[367.79, 152.96, 116.28, 74.17, 74.27, 75.55, 1.0]
[367.8, 18.82, 29.76, 141.75, 65.88, 140.04, 1.0]
[318.39, 18.82, 29.76, -169.16, 67.18, -174.66, 1.0]
[318.38, 60.55, 237.88, 148.76, 77.15, 146.04, 1.0]
[253.77, 126.24, 237.88, 106.52, 75.58, 105.31, 1.0]
